date,close,open,high,low,volume,%
2025/9/12,"25,474.64","25,349.70","25,492.28","25,349.70",,1.03%
2025/9/11,"25,215.71","25,509.30","25,541.44","25,174.13",,0.09%
2025/9/10,"25,192.59","25,032.88","25,272.23","25,032.88",,1.36%
2025/9/9,"24,855.18","24,650.46","24,880.07","24,650.46",,1.25%
2025/9/8,"24,547.38","24,610.85","24,729.96","24,547.38",,0.22%
2025/9/5,"24,494.58","24,244.26","24,494.58","24,244.26",,1.30%
2025/9/4,"24,179.85","24,235.27","24,389.35","24,168.16",,0.33%
2025/9/3,"24,100.30","24,036.88","24,103.23","23,925.49",,0.35%
2025/9/2,"24,016.78","24,113.90","24,295.03","23,890.33",,-0.23%
2025/9/1,"24,071.73","24,143.37","24,312.83","23,885.41",,-0.67%
2025/8/29,"24,233.10","24,438.03","24,570.15","24,233.10",,-0.01%
2025/8/28,"24,236.45","24,468.12","24,502.37","24,236.45",,-1.16%
2025/8/27,"24,519.90","24,449.81","24,539.88","24,410.08",,0.88%
2025/8/26,"24,305.10","24,237.36","24,382.42","24,113.03",,0.11%
2025/8/25,"24,277.38","24,108.81","24,362.02","24,108.75",,2.16%
2025/8/22,"23,764.47","24,033.02","24,071.65","23,764.47",,-0.82%
2025/8/21,"23,962.13","23,739.83","24,011.50","23,739.83",,1.43%
2025/8/20,"23,625.44","24,309.27","24,309.27","23,620.24",,-2.99%
2025/8/19,"24,353.50","24,493.92","24,551.42","24,324.29",,-0.53%
2025/8/18,"24,482.52","24,272.55","24,515.65","24,257.30",,0.61%
2025/8/15,"24,334.48","24,266.23","24,385.56","24,164.43",,0.40%
2025/8/14,"24,238.10","24,258.50","24,389.51","24,198.88",,-0.54%
2025/8/13,"24,370.02","24,232.04","24,406.94","24,172.19",,0.88%
2025/8/12,"24,158.36","24,182.84","24,263.92","24,065.43",,0.09%
2025/8/11,"24,135.50","23,980.39","24,249.05","23,887.25",,0.48%
2025/8/8,"24,021.26","24,026.65","24,131.46","23,967.99",,0.07%
2025/8/7,"24,003.77","23,717.35","24,050.54","23,717.35",,2.37%
2025/8/6,"23,447.36","23,498.40","23,671.62","23,433.53",,-0.90%
2025/8/5,"23,660.59","23,498.40","23,671.84","23,498.40",,1.20%
2025/8/4,"23,378.94","23,260.18","23,378.94","23,151.65",,-0.24%
2025/8/1,"23,434.38","23,318.37","23,484.21","23,168.27",,-0.46%
2025/7/31,"23,542.52","23,523.59","23,631.11","23,454.44",,0.34%
2025/7/30,"23,461.72","23,288.72","23,461.72","23,264.64",,1.12%
2025/7/29,"23,201.52","23,414.36","23,422.17","23,094.67",,-0.90%
2025/7/28,"23,412.98","23,477.10","23,564.44","23,350.73",,0.21%
2025/7/25,"23,364.38","23,454.59","23,485.56","23,308.45",,-0.04%
2025/7/24,"23,373.73","23,373.67","23,455.09","23,295.31",,0.24%
2025/7/23,"23,318.67","23,063.57","23,318.67","23,063.57",,1.44%
2025/7/22,"22,987.92","23,301.66","23,486.08","22,985.90",,-1.51%
2025/7/21,"23,340.56","23,314.29","23,403.83","23,243.79",,-0.18%
2025/7/18,"23,383.13","23,345.72","23,468.21","23,276.02",,1.17%
2025/7/17,"23,113.28","23,042.97","23,159.54","22,923.37",,0.31%
2025/7/16,"23,042.90","22,967.51","23,106.43","22,923.12",,0.91%
2025/7/15,"22,835.94","22,618.43","22,888.23","22,588.26",,0.98%
2025/7/14,"22,614.97","22,679.18","22,735.23","22,525.66",,-0.60%
2025/7/11,"22,751.03","22,602.81","22,770.01","22,601.95",,0.25%
2025/7/10,"22,693.25","22,566.51","22,699.29","22,513.35",,0.74%
2025/7/9,"22,527.01","22,253.17","22,527.01","22,211.10",,0.74%
2025/7/8,"22,362.27","22,375.65","22,375.65","22,190.46",,-0.30%
2025/7/7,"22,428.72","22,550.14","22,550.14","22,294.11",,-0.53%
2025/7/4,"22,547.50","22,756.55","22,842.75","22,500.97",,-0.73%
2025/7/3,"22,712.97","22,707.41","22,816.20","22,701.28",,0.60%
2025/7/2,"22,577.74","22,463.55","22,577.74","22,396.26",,0.11%
2025/7/1,"22,553.72","22,419.74","22,730.76","22,401.58",,1.34%
2025/6/30,"22,256.02","22,508.33","22,558.95","22,256.02",,-1.44%
2025/6/27,"22,580.08","22,503.85","22,580.08","22,388.59",,0.39%
2025/6/26,"22,492.34","22,425.39","22,587.67","22,391.27",,0.28%
2025/6/25,"22,430.61","22,341.87","22,444.51","22,341.87",,1.09%
2025/6/24,"22,188.76","22,001.48","22,201.05","22,001.48",,2.10%
2025/6/23,"21,732.02","21,750.70","21,801.32","21,551.58",,-1.42%
2025/6/20,"22,045.74","21,960.51","22,089.48","21,779.55",,0.19%
2025/6/19,"22,003.50","22,238.10","22,249.40","21,973.04",,-1.58%
2025/6/18,"22,356.73","22,135.83","22,370.25","22,104.68",,0.65%
2025/6/17,"22,211.59","22,172.59","22,331.69","22,118.46",,0.73%
2025/6/16,"22,049.90","22,058.57","22,094.60","21,936.38",,-0.10%
2025/6/13,"22,072.95","22,215.50","22,228.01","21,984.36",,-0.96%
2025/6/12,"22,287.82","22,362.67","22,390.17","22,253.64",,-0.81%
2025/6/11,"22,470.10","22,376.37","22,470.10","22,294.60",,1.02%
2025/6/10,"22,242.14","21,921.24","22,294.86","21,921.24",,2.07%
2025/6/9,"21,790.29","21,773.45","21,866.27","21,717.52",,0.60%
2025/6/6,"21,660.66","21,637.77","21,702.46","21,606.70",,-0.06%
2025/6/5,"21,674.43","21,695.93","21,738.93","21,626.74",,0.26%
2025/6/4,"21,618.09","21,341.44","21,618.09","21,341.44",,2.32%
2025/6/3,"21,126.93","21,126.70","21,303.21","21,110.63",,0.59%
2025/6/2,"21,002.71","21,253.97","21,256.10","20,940.98",,-1.61%
2025/5/29,"21,347.30","21,531.29","21,605.26","21,347.30",,-0.05%
2025/5/28,"21,357.72","21,539.15","21,634.37","21,305.73",,0.10%
2025/5/27,"21,336.54","21,491.65","21,558.47","21,310.00",,-0.93%
